"","JURISDICTION","YEAR","CRIME","NUMBER"
"1","Anne Arundel County",1975,"ROBBERY",413
"2","Anne Arundel County",1975,"AGGRAVATED ASSAULT",1514
"3","Anne Arundel County",1975,"BREAKING & ENTERING",5662
"4","Anne Arundel County",1975,"MOTOR VEHICLE THEFT",1986
"5","Anne Arundel County",1976,"ROBBERY",330
"6","Anne Arundel County",1976,"AGGRAVATED ASSAULT",619
"7","Anne Arundel County",1976,"BREAKING & ENTERING",4653
"8","Anne Arundel County",1976,"MOTOR VEHICLE THEFT",1520
"9","Anne Arundel County",1977,"ROBBERY",396
"10","Anne Arundel County",1977,"AGGRAVATED ASSAULT",656
"11","Anne Arundel County",1977,"BREAKING & ENTERING",5091
"12","Anne Arundel County",1977,"MOTOR VEHICLE THEFT",1436
"13","Anne Arundel County",1978,"ROBBERY",349
"14","Anne Arundel County",1978,"AGGRAVATED ASSAULT",710
"15","Anne Arundel County",1978,"BREAKING & ENTERING",4694
"16","Anne Arundel County",1978,"MOTOR VEHICLE THEFT",1161
"17","Anne Arundel County",1979,"ROBBERY",301
"18","Anne Arundel County",1979,"AGGRAVATED ASSAULT",728
"19","Anne Arundel County",1979,"BREAKING & ENTERING",4430
"20","Anne Arundel County",1979,"MOTOR VEHICLE THEFT",1264
"21","Anne Arundel County",1980,"ROBBERY",352
"22","Anne Arundel County",1980,"AGGRAVATED ASSAULT",815
"23","Anne Arundel County",1980,"BREAKING & ENTERING",5444
"24","Anne Arundel County",1980,"MOTOR VEHICLE THEFT",1353
"25","Anne Arundel County",1981,"ROBBERY",488
"26","Anne Arundel County",1981,"AGGRAVATED ASSAULT",820
"27","Anne Arundel County",1981,"BREAKING & ENTERING",5105
"28","Anne Arundel County",1981,"MOTOR VEHICLE THEFT",1276
"29","Anne Arundel County",1982,"ROBBERY",420
"30","Anne Arundel County",1982,"AGGRAVATED ASSAULT",844
"31","Anne Arundel County",1982,"BREAKING & ENTERING",4614
"32","Anne Arundel County",1982,"MOTOR VEHICLE THEFT",1128
"33","Anne Arundel County",1983,"ROBBERY",465
"34","Anne Arundel County",1983,"AGGRAVATED ASSAULT",935
"35","Anne Arundel County",1983,"BREAKING & ENTERING",4392
"36","Anne Arundel County",1983,"MOTOR VEHICLE THEFT",951
"37","Anne Arundel County",1984,"ROBBERY",416
"38","Anne Arundel County",1984,"AGGRAVATED ASSAULT",1085
"39","Anne Arundel County",1984,"BREAKING & ENTERING",4269
"40","Anne Arundel County",1984,"MOTOR VEHICLE THEFT",941
"41","Anne Arundel County",1985,"ROBBERY",417
"42","Anne Arundel County",1985,"AGGRAVATED ASSAULT",1204
"43","Anne Arundel County",1985,"BREAKING & ENTERING",4675
"44","Anne Arundel County",1985,"MOTOR VEHICLE THEFT",1121
"45","Anne Arundel County",1986,"ROBBERY",369
"46","Anne Arundel County",1986,"AGGRAVATED ASSAULT",979
"47","Anne Arundel County",1986,"BREAKING & ENTERING",5382
"48","Anne Arundel County",1986,"MOTOR VEHICLE THEFT",1533
"49","Anne Arundel County",1987,"ROBBERY",383
"50","Anne Arundel County",1987,"AGGRAVATED ASSAULT",895
"51","Anne Arundel County",1987,"BREAKING & ENTERING",4539
"52","Anne Arundel County",1987,"MOTOR VEHICLE THEFT",1676
"53","Anne Arundel County",1988,"ROBBERY",420
"54","Anne Arundel County",1988,"AGGRAVATED ASSAULT",975
"55","Anne Arundel County",1988,"BREAKING & ENTERING",4134
"56","Anne Arundel County",1988,"MOTOR VEHICLE THEFT",1801
"57","Anne Arundel County",1989,"ROBBERY",468
"58","Anne Arundel County",1989,"AGGRAVATED ASSAULT",895
"59","Anne Arundel County",1989,"BREAKING & ENTERING",4009
"60","Anne Arundel County",1989,"MOTOR VEHICLE THEFT",1805
"61","Anne Arundel County",1990,"ROBBERY",462
