"","JURISDICTION","YEAR","CRIME","NUMBER"
"1","Anne Arundel County",1975,"MURDER",16
"2","Anne Arundel County",1975,"RAPE",74
"3","Anne Arundel County",1976,"MURDER",10
"4","Anne Arundel County",1976,"RAPE",77
"5","Anne Arundel County",1977,"MURDER",16
"6","Anne Arundel County",1977,"RAPE",118
"7","Anne Arundel County",1978,"MURDER",17
"8","Anne Arundel County",1978,"RAPE",68
"9","Anne Arundel County",1979,"MURDER",13
"10","Anne Arundel County",1979,"RAPE",84
"11","Anne Arundel County",1980,"MURDER",20
"12","Anne Arundel County",1980,"RAPE",117
"13","Anne Arundel County",1981,"MURDER",23
"14","Anne Arundel County",1981,"RAPE",85
"15","Anne Arundel County",1982,"MURDER",19
"16","Anne Arundel County",1982,"RAPE",83
"17","Anne Arundel County",1983,"MURDER",13
"18","Anne Arundel County",1983,"RAPE",71
"19","Anne Arundel County",1984,"MURDER",16
"20","Anne Arundel County",1984,"RAPE",97
"21","Anne Arundel County",1985,"MURDER",16
"22","Anne Arundel County",1985,"RAPE",113
"23","Anne Arundel County",1986,"MURDER",20
"24","Anne Arundel County",1986,"RAPE",133
"25","Anne Arundel County",1987,"MURDER",19
"26","Anne Arundel County",1987,"RAPE",115
"27","Anne Arundel County",1988,"MURDER",18
"28","Anne Arundel County",1988,"RAPE",83
"29","Anne Arundel County",1989,"MURDER",20
"30","Anne Arundel County",1989,"RAPE",124
"31","Anne Arundel County",1990,"MURDER",16
"32","Anne Arundel County",1990,"RAPE",131
"33","Anne Arundel County",1991,"MURDER",12
"34","Anne Arundel County",1991,"RAPE",126
"35","Anne Arundel County",1992,"MURDER",12
"36","Anne Arundel County",1992,"RAPE",136
"37","Anne Arundel County",1993,"MURDER",22
"38","Anne Arundel County",1993,"RAPE",141
"39","Anne Arundel County",1994,"MURDER",11
"40","Anne Arundel County",1994,"RAPE",132
"41","Anne Arundel County",1995,"MURDER",17
"42","Anne Arundel County",1995,"RAPE",111
"43","Anne Arundel County",1996,"MURDER",16
"44","Anne Arundel County",1996,"RAPE",86
"45","Anne Arundel County",1997,"MURDER",12
"46","Anne Arundel County",1997,"RAPE",90
"47","Anne Arundel County",1998,"MURDER",7
"48","Anne Arundel County",1998,"RAPE",117
"49","Anne Arundel County",1999,"MURDER",7
"50","Anne Arundel County",1999,"RAPE",117
"51","Anne Arundel County",2000,"MURDER",11
"52","Anne Arundel County",2000,"RAPE",117
"53","Anne Arundel County",2001,"MURDER",11
"54","Anne Arundel County",2001,"RAPE",119
"55","Anne Arundel County",2002,"MURDER",17
"56","Anne Arundel County",2002,"RAPE",94
"57","Anne Arundel County",2003,"MURDER",24
"58","Anne Arundel County",2003,"RAPE",93
"59","Anne Arundel County",2004,"MURDER",16
"60","Anne Arundel County",2004,"RAPE",110
"61","Anne Arundel County",2005,"MURDER",16
"62","Anne Arundel County",2005,"RAPE",88
"63","Anne Arundel County",2006,"MURDER",23
"64","Anne Arundel County",2006,"RAPE",110
"65","Anne Arundel County",2007,"MURDER",20
"66","Anne Arundel County",2007,"RAPE",90
"67","Anne Arundel County",2008,"MURDER",18
"68","Anne Arundel County",2008,"RAPE",109
"69","Anne Arundel County",2009,"MURDER",16
"70","Anne Arundel County",2009,"RAPE",95
"71","Anne Arundel County",2010,"MURDER",18
"72","Anne Arundel County",2010,"RAPE",113
"73","Anne Arundel County",2011,"MURDER",15
"74","Anne Arundel County",2011,"RAPE",91
"75","Anne Arundel County",2012,"MURDER",13
"76","Anne Arundel County",2012,"RAPE",100
"77","Anne Arundel County",2013,"MURDER",15
"78","Anne Arundel County",2013,"RAPE",71
"79","Anne Arundel County",2014,"MURDER",14
"80","Anne Arundel County",2014,"RAPE",92
"81","Anne Arundel County",2015,"MURDER",17
"82","Anne Arundel County",2015,"RAPE",140
"83","Anne Arundel County",2016,"MURDER",25
"84","Anne Arundel County",2016,"RAPE",154
"85","Anne Arundel County",2017,"MURDER",21
"86","Anne Arundel County",2017,"RAPE",172
"87","Anne Arundel County",2018,"MURDER",25
"88","Anne Arundel County",2018,"RAPE",168
"89","Anne Arundel County",2019,"MURDER",20
"90","Anne Arundel County",2019,"RAPE",159
"91","Anne Arundel County",2020,"MURDER",26
"92","Anne Arundel County",2020,"RAPE",148
"93","Baltimore City",1975,"MURDER",259
"94","Baltimore City",1975,"RAPE",463
"95","Baltimore City",1976,"MURDER",200
"96","Baltimore City",1976,"RAPE",460
"97","Baltimore City",1977,"MURDER",171
"98","Baltimore City",1977,"RAPE",499
"99","Baltimore City",1978,"MURDER",199
"100","Baltimore City",1978,"RAPE",554
"101","Baltimore City",1979,"MURDER",245
"102","Baltimore City",1979,"RAPE",565
"103","Baltimore City",1980,"MURDER",216
"104","Baltimore City",1980,"RAPE",566
"105","Baltimore City",1981,"MURDER",228
"106","Baltimore City",1981,"RAPE",566
"107","Baltimore City",1982,"MURDER",227
"108","Baltimore City",1982,"RAPE",553
"109","Baltimore City",1983,"MURDER",201
"110","Baltimore City",1983,"RAPE",500
"111","Baltimore City",1984,"MURDER",215
"112","Baltimore City",1984,"RAPE",566
"113","Baltimore City",1985,"MURDER",213
"114","Baltimore City",1985,"RAPE",594
"115","Baltimore City",1986,"MURDER",240
"116","Baltimore City",1986,"RAPE",660
"117","Baltimore City",1987,"MURDER",226
