"","Year","Month","Police.District.Name","num"
"1","2017","10","SILVER SPRING",909
"2","2017","09","SILVER SPRING",889
"3","2019","05","SILVER SPRING",885
"4","2017","08","SILVER SPRING",871
"5","2019","10","SILVER SPRING",868
"6","2017","05","SILVER SPRING",866
"7","2018","06","WHEATON",850
"8","2017","12","SILVER SPRING",840
"9","2016","12","SILVER SPRING",831
"10","2018","01","SILVER SPRING",830
"11","2016","07","SILVER SPRING",828
"12","2016","11","SILVER SPRING",826
"13","2017","04","SILVER SPRING",826
"14","2023","10","SILVER SPRING",826
"15","2018","08","SILVER SPRING",825
"16","2016","08","SILVER SPRING",815
"17","2018","07","SILVER SPRING",815
"18","2019","07","SILVER SPRING",811
"19","2018","07","WHEATON",809
"20","2023","07","SILVER SPRING",809
"21","2020","01","SILVER SPRING",806
"22","2017","11","SILVER SPRING",803
"23","2018","09","SILVER SPRING",801
"24","2017","01","WHEATON",799
"25","2017","03","WHEATON",799
"26","2018","04","SILVER SPRING",799
"27","2018","10","SILVER SPRING",797
"28","2016","10","SILVER SPRING",792
"29","2019","03","SILVER SPRING",792
"30","2017","07","WHEATON",789
"31","2017","10","WHEATON",787
"32","2016","07","WHEATON",786
"33","2017","01","SILVER SPRING",786
"34","2024","10","SILVER SPRING",785
"35","2017","02","SILVER SPRING",782
"36","2017","08","WHEATON",780
"37","2017","06","SILVER SPRING",778
"38","2019","06","SILVER SPRING",777
"39","2023","04","SILVER SPRING",777
"40","2018","03","SILVER SPRING",776
"41","2016","09","SILVER SPRING",774
"42","2019","11","SILVER SPRING",774
"43","2023","01","SILVER SPRING",763
"44","2017","05","WHEATON",760
"45","2016","12","WHEATON",758
"46","2019","04","SILVER SPRING",758
"47","2016","08","WHEATON",757
"48","2018","06","SILVER SPRING",757
"49","2019","12","SILVER SPRING",755
"50","2024","11","SILVER SPRING",754
"51","2023","10","MONTGOMERY VILLAGE",752
"52","2016","09","MONTGOMERY VILLAGE",751
"53","2023","05","SILVER SPRING",746
"54","2024","05","SILVER SPRING",746
"55","2016","09","WHEATON",743
"56","2018","12","SILVER SPRING",742
"57","2018","02","SILVER SPRING",739
"58","2022","12","SILVER SPRING",739
"59","2018","08","WHEATON",737
"60","2017","03","SILVER SPRING",733
"61","2023","03","WHEATON",733
"62","2019","09","SILVER SPRING",731
"63","2017","07","SILVER SPRING",730
"64","2016","10","WHEATON",725
"65","2022","09","SILVER SPRING",725
"66","2019","08","SILVER SPRING",724
"67","2018","03","WHEATON",723
"68","2023","03","SILVER SPRING",720
"69","2023","12","SILVER SPRING",720
"70","2017","12","WHEATON",717
"71","2018","05","WHEATON",717
"72","2023","09","SILVER SPRING",716
"73","2017","06","WHEATON",715
"74","2023","11","WHEATON",713
"75","2017","09","WHEATON",710
"76","2018","05","SILVER SPRING",708
"77","2016","08","MONTGOMERY VILLAGE",707
"78","2017","11","WHEATON",707
"79","2019","02","SILVER SPRING",705
"80","2023","11","SILVER SPRING",704
"81","2024","10","WHEATON",703
"82","2025","03","SILVER SPRING",703
"83","2016","07","MONTGOMERY VILLAGE",702
"84","2024","07","SILVER SPRING",701
"85","2018","01","WHEATON",697
"86","2018","11","WHEATON",695
"87","2020","01","WHEATON",695
"88","2023","06","SILVER SPRING",693
"89","2018","11","SILVER SPRING",692
"90","2019","05","WHEATON",690
"91","2023","02","SILVER SPRING",687
"92","2018","10","WHEATON",686
"93","2024","06","SILVER SPRING",686
"94","2025","04","SILVER SPRING",686
"95","2017","04","WHEATON",684
"96","2019","11","WHEATON",684
"97","2023","08","SILVER SPRING",683
